Query Criteria for the Count Measure,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year Filter:,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",,,,,,,,,,,,,
State of Occurrence Filter:,New Jersey,,,,,,,,,,,,,
Data Grouped By:,"County of Residence, Year",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data Table of Count by Year and County of Residence,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County of Residence,Year,,,,,,,,,,,,,Total
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Mercer,11,Total,.,"55,351",,,,,,,,,,
Mercer,11,2005,2005,"4,425",,,,,,,,,,
Mercer,11,2006,2006,"4,516",,,,,,,,,,
Mercer,11,2007,2007,"4,602",,,,,,,,,,
Mercer,11,2008,2008,"4,569",,,,,,,,,,
Mercer,11,2009,2009,"4,422",,,,,,,,,,
Mercer,11,2010,2010,"4,326",,,,,,,,,,
Mercer,11,2011,2011,"4,149",,,,,,,,,,
Mercer,11,2012,2012,"4,137",,,,,,,,,,
Mercer,11,2013,2013,"4,036",,,,,,,,,,
Mercer,11,2014,2014,"4,114",,,,,,,,,,
Mercer,11,2015,2015,"3,996",,,,,,,,,,
Mercer,11,2016,2016,"4,105",,,,,,,,,,
Mercer,11,2017,2017,"3,954",,,,,,,,,,
Middlesex,12,Total,.,"127,041",,,,,,,,,,
Middlesex,12,2005,2005,"10,187",,,,,,,,,,
Middlesex,12,2006,2006,"10,480",,,,,,,,,,
Middlesex,12,2007,2007,"10,649",,,,,,,,,,
Middlesex,12,2008,2008,"10,370",,,,,,,,,,
Middlesex,12,2009,2009,"10,019",,,,,,,,,,
Middlesex,12,2010,2010,"9,876",,,,,,,,,,
Middlesex,12,2011,2011,"9,725",,,,,,,,,,
Middlesex,12,2012,2012,"9,745",,,,,,,,,,
Middlesex,12,2013,2013,"9,143",,,,,,,,,,
Middlesex,12,2014,2014,"9,447",,,,,,,,,,
Middlesex,12,2015,2015,"9,153",,,,,,,,,,
Middlesex,12,2016,2016,"9,241",,,,,,,,,,
Middlesex,12,2017,2017,"9,006",,,,,,,,,,
Monmouth,13,Total,.,"80,680",,,,,,,,,,
Monmouth,13,2005,2005,"7,225",,,,,,,,,,
Monmouth,13,2006,2006,"7,117",,,,,,,,,,
Monmouth,13,2007,2007,"6,907",,,,,,,,,,
Monmouth,13,2008,2008,"6,640",,,,,,,,,,
Monmouth,13,2009,2009,"6,371",,,,,,,,,,
Monmouth,13,2010,2010,"6,124",,,,,,,,,,
Monmouth,13,2011,2011,"6,004",,,,,,,,,,
Monmouth,13,2012,2012,"5,971",,,,,,,,,,
Monmouth,13,2013,2013,"5,808",,,,,,,,,,
Monmouth,13,2014,2014,"5,668",,,,,,,,,,
Monmouth,13,2015,2015,"5,697",,,,,,,,,,
Monmouth,13,2016,2016,"5,685",,,,,,,,,,
Monmouth,13,2017,2017,"5,463",,,,,,,,,,
Morris,14,Total,.,"63,791",,,,,,,,,,
Morris,14,2005,2005,"5,674",,,,,,,,,,
Morris,14,2006,2006,"5,656",,,,,,,,,,
Morris,14,2007,2007,"5,390",,,,,,,,,,
Morris,14,2008,2008,"5,219",,,,,,,,,,
Morris,14,2009,2009,"4,963",,,,,,,,,,
Morris,14,2010,2010,"4,774",,,,,,,,,,
Morris,14,2011,2011,"4,635",,,,,,,,,,
Morris,14,2012,2012,"4,563",,,,,,,,,,
Morris,14,2013,2013,"4,508",,,,,,,,,,
Morris,14,2014,2014,"4,578",,,,,,,,,,
Morris,14,2015,2015,"4,652",,,,,,,,,,
Morris,14,2016,2016,"4,568",,,,,,,,,,
Morris,14,2017,2017,"4,611",,,,,,,,,,
Ocean,15,Total,.,"103,224",,,,,,,,,,
Ocean,15,2005,2005,"7,538",,,,,,,,,,
Ocean,15,2006,2006,"7,506",,,,,,,,,,
Ocean,15,2007,2007,"7,952",,,,,,,,,,
Ocean,15,2008,2008,"7,743",,,,,,,,,,
Ocean,15,2009,2009,"7,833",,,,,,,,,,
Ocean,15,2010,2010,"7,711",,,,,,,,,,
Ocean,15,2011,2011,"7,888",,,,,,,,,,
Ocean,15,2012,2012,"7,812",,,,,,,,,,
Ocean,15,2013,2013,"7,856",,,,,,,,,,
Ocean,15,2014,2014,"8,219",,,,,,,,,,
Ocean,15,2015,2015,"8,349",,,,,,,,,,
Ocean,15,2016,2016,"8,394",,,,,,,,,,
Ocean,15,2017,2017,"8,423",,,,,,,,,,
Passaic,16,Total,.,"91,978",,,,,,,,,,
Passaic,16,2005,2005,"7,499",,,,,,,,,,
Passaic,16,2006,2006,"7,459",,,,,,,,,,
Passaic,16,2007,2007,"7,732",,,,,,,,,,
Passaic,16,2008,2008,"7,363",,,,,,,,,,
Passaic,16,2009,2009,"7,226",,,,,,,,,,
Passaic,16,2010,2010,"7,039",,,,,,,,,,
Passaic,16,2011,2011,"7,005",,,,,,,,,,
Passaic,16,2012,2012,"6,859",,,,,,,,,,
Passaic,16,2013,2013,"6,829",,,,,,,,,,
Passaic,16,2014,2014,"6,670",,,,,,,,,,
Passaic,16,2015,2015,"6,892",,,,,,,,,,
Passaic,16,2016,2016,"6,724",,,,,,,,,,
Passaic,16,2017,2017,"6,681",,,,,,,,,,
Salem,17,Total,.,"7,497",,,,,,,,,,
Salem,17,2005,2005,634,,,,,,,,,,
Salem,17,2006,2006,646,,,,,,,,,,
Salem,17,2007,2007,627,,,,,,,,,,
Salem,17,2008,2008,612,,,,,,,,,,
Salem,17,2009,2009,599,,,,,,,,,,
Salem,17,2010,2010,572,,,,,,,,,,
Salem,17,2011,2011,573,,,,,,,,,,
Salem,17,2012,2012,526,,,,,,,,,,
Salem,17,2013,2013,550,,,,,,,,,,
Salem,17,2014,2014,565,,,,,,,,,,
Salem,17,2015,2015,530,,,,,,,,,,
Salem,17,2016,2016,507,,,,,,,,,,
Salem,17,2017,2017,556,,,,,,,,,,
Somerset,18,Total,.,"46,177",,,,,,,,,,
Somerset,18,2005,2005,"4,117",,,,,,,,,,
Somerset,18,2006,2006,"3,960",,,,,,,,,,
Somerset,18,2007,2007,"4,008",,,,,,,,,,
Somerset,18,2008,2008,"3,816",,,,,,,,,,
Somerset,18,2009,2009,"3,690",,,,,,,,,,
Somerset,18,2010,2010,"3,509",,,,,,,,,,
Somerset,18,2011,2011,"3,386",,,,,,,,,,
Somerset,18,2012,2012,"3,424",,,,,,,,,,
Somerset,18,2013,2013,"3,335",,,,,,,,,,
Somerset,18,2014,2014,"3,322",,,,,,,,,,
Somerset,18,2015,2015,"3,286",,,,,,,,,,
Somerset,18,2016,2016,"3,247",,,,,,,,,,
Somerset,18,2017,2017,"3,077",,,,,,,,,,
Sussex,19,Total,.,"17,224",,,,,,,,,,
Sussex,19,2005,2005,"1,556",,,,,,,,,,
Sussex,19,2006,2006,"1,618",,,,,,,,,,
Sussex,19,2007,2007,"1,501",,,,,,,,,,
Sussex,19,2008,2008,"1,490",,,,,,,,,,
Sussex,19,2009,2009,"1,344",,,,,,,,,,
Sussex,19,2010,2010,"1,362",,,,,,,,,,
Sussex,19,2011,2011,"1,304",,,,,,,,,,
Sussex,19,2012,2012,"1,185",,,,,,,,,,
Sussex,19,2013,2013,"1,224",,,,,,,,,,
Sussex,19,2014,2014,"1,197",,,,,,,,,,
Sussex,19,2015,2015,"1,142",,,,,,,,,,
Sussex,19,2016,2016,"1,139",,,,,,,,,,
Sussex,19,2017,2017,"1,162",,,,,,,,,,
Union,20,Total,.,"89,625",,,,,,,,,,
Union,20,2005,2005,"7,186",,,,,,,,,,
Union,20,2006,2006,"7,418",,,,,,,,,,
Union,20,2007,2007,"7,443",,,,,,,,,,
Union,20,2008,2008,"7,195",,,,,,,,,,
Union,20,2009,2009,"7,117",,,,,,,,,,
Union,20,2010,2010,"6,882",,,,,,,,,,
Union,20,2011,2011,"6,617",,,,,,,,,,
Union,20,2012,2012,"6,589",,,,,,,,,,
Union,20,2013,2013,"6,746",,,,,,,,,,
Union,20,2014,2014,"6,567",,,,,,,,,,
Union,20,2015,2015,"6,620",,,,,,,,,,
Union,20,2016,2016,"6,566",,,,,,,,,,
Union,20,2017,2017,"6,679",,,,,,,,,,
Warren,21,Total,.,"11,130",,,,,,,,,,
Warren,21,2005,2005,"1,180",,,,,,,,,,
Warren,21,2006,2006,"1,221",,,,,,,,,,
Warren,21,2007,2007,"1,143",,,,,,,,,,
Warren,21,2008,2008,973,,,,,,,,,,
Warren,21,2009,2009,821,,,,,,,,,,
Warren,21,2010,2010,782,,,,,,,,,,
Warren,21,2011,2011,803,,,,,,,,,,
Warren,21,2012,2012,727,,,,,,,,,,
Warren,21,2013,2013,746,,,,,,,,,,
Warren,21,2014,2014,704,,,,,,,,,,
Warren,21,2015,2015,683,,,,,,,,,,
Warren,21,2016,2016,678,,,,,,,,,,
Warren,21,2017,2017,669,,,,,,,,,,
,,,,,,,,,,,,,,
Data Notes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Count of all live births in a given population and time period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data Sources,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"New Jersey Birth Certificate Database, Office of Vital Statistics and Registry, New Jersey Department of Health",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data Issues,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Reporting of some items was incomplete or not collected at all in the early 1990s, therefore all data for those items are shown as Unknown in those years.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Preliminary data files may be missing records (particularly those for women who deliver out of state) and/or may contain errors within records that have not yet been corrected.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Additionally, 2014 and 2015 were transitional years in New Jersey birth data collection as the old Electronic Birth Certificate (EBC) system was retired and the new Vital Information Platform (VIP) was rolled out in hospitals across the state over a one year period from July 2014 through June 2015. Several birth certificate items are collected differently in the VIP than they were in the EBC and are not directly comparable between the old and the new, therefore all data for those items that were collected through the VIP are shown as Unknown in those years.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Query Date Time Stamp,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"These data were queried on: Thu, 21 May 2020 09:00:37 EDT",,,,,,,,,,,,,,
"The dataset was last updated on: Mon, 20 Apr 2020 10:09:05 EDT",,,,,,,,,,,,,,
"Center for Health Statistics, New Jersey Department of Health, PO Box 360, Trenton, NJ 08625-0360, Web: www.nj.gov/health/chs, e-mail: chs@doh.nj.gov",,,,,,,,,,,,,,
"The information provided above is from the Department of Health's NJSHAD web site (https://nj.gov/health/shad). The information published on this website may be reproduced without permission. Please use the following citation: "" Retrieved Thu, 21 May 2020 9:00:45 from Department of Health, New Jersey State Health Assessment Data Web site: https://nj.gov/health/shad "".",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Content updated: Wed, 31 Dec 1969 19:00:01 EST",,,,,,,,,,,,,,
