"B27007_001E","B27007_001M","B27007_002E","B27007_002M","B27007_003E","B27007_003M","B27007_004E","B27007_004M","B27007_005E","B27007_005M","B27007_006E","B27007_006M","B27007_007E","B27007_007M","B27007_008E","B27007_008M","B27007_009E","B27007_009M","B27007_010E","B27007_010M","B27007_011E","B27007_011M","B27007_012E","B27007_012M","B27007_013E","B27007_013M","B27007_014E","B27007_014M","B27007_015E","B27007_015M","B27007_016E","B27007_016M","B27007_017E","B27007_017M","B27007_018E","B27007_018M","B27007_019E","B27007_019M","B27007_020E","B27007_020M","B27007_021E","B27007_021M","B27007_022E","B27007_022M","B27007_023E","B27007_023M","B27007_024E","B27007_024M","B27007_025E","B27007_025M","B27007_026E","B27007_026M","B27007_027E","B27007_027M","B27007_028E","B27007_028M","B27007_029E","B27007_029M","B27007_030E","B27007_030M","B27007_031E","B27007_031M","B27007_032E","B27007_032M","B27007_033E","B27007_033M","B27007_034E","B27007_034M","B27007_035E","B27007_035M","B27007_036E","B27007_036M","B27007_037E","B27007_037M","B27007_038E","B27007_038M","B27007_039E","B27007_039M","B27007_040E","B27007_040M","B27007_041E","B27007_041M","B27007_042E","B27007_042M","B27007_043E","B27007_043M","B27007_044E","B27007_044M","B27007_045E","B27007_045M","B27007_046E","B27007_046M","B27007_047E","B27007_047M","B27007_048E","B27007_048M","B27007_049E","B27007_049M","B27007_050E","B27007_050M","B27007_051E","B27007_051M","B27007_052E","B27007_052M","B27007_053E","B27007_053M","B27007_054E","B27007_054M","B27007_055E","B27007_055M","B27007_056E","B27007_056M","B27007_057E","B27007_057M","GEO_ID","NAME"
"120758","617","59279","816","3038","862","419","344","2619","907","9037","836","2015","885","7022","910","4460","612","170","193","4290","675","4717","547","446","291","4271","489","7085","620","890","674","6195","635","9094","471","293","322","8801","533","10557","353","861","785","9696","807","7157","297","373","274","6784","391","4134","230","122","152","4012","286","61479","698","2933","522","359","311","2574","532","9366","615","1474","750","7892","840","4338","490","289","310","4049","471","4930","622","486","290","4444","569","6816","599","457","373","6359","645","9683","520","537","412","9146","504","10734","298","490","380","10244","471","7136","294","274","239","6862","375","5543","319","660","398","4883","504","0500000US34019","Hunterdon County, New Jersey"
"361583","2599","174444","2502","13774","1053","3868","1186","9906","1432","28789","1894","6198","1526","22591","1971","19445","1504","1809","762","17636","1520","19399","1086","2418","1119","16981","1368","22508","355","2277","776","20231","845","23880","1038","2204","861","21676","1373","23235","312","2430","996","20805","1041","14391","674","1493","605","12898","712","9023","436","1669","543","7354","729","187139","1229","11953","794","5645","1371","6308","1311","30808","1578","6667","1810","24141","1909","19353","1400","2719","951","16634","1303","19514","848","3242","1027","16272","1121","23153","114","2347","1142","20806","1097","25446","5","3573","1186","21873","1186","25005","4","2990","920","22015","920","17180","579","2211","859","14969","707","14727","703","1839","772","12888","1026","0500000US34021","Mercer County, New Jersey"
"818481","1763","402641","1811","28926","1246","8666","1979","20260","1904","68355","1878","19487","3832","48868","3965","39552","1735","4311","1425","35241","2143","48690","1443","2752","868","45938","1556","56590","534","4132","1566","52458","1553","54628","593","4276","1374","50352","1403","51315","536","4708","1234","46607","1363","33489","336","2909","916","30580","918","21096","532","2955","788","18141","971","415840","762","27620","1164","6136","1439","21484","1629","64364","1444","15678","2482","48686","2709","37974","1402","4703","1192","33271","1662","48059","1211","4831","1376","43228","1720","56150","81","7303","1672","48847","1672","55351","3","5677","1439","49674","1439","55707","146","5785","1341","49922","1358","39079","128","4444","938","34635","907","31536","483","5606","1144","25930","1149","0500000US34023","Middlesex County, New Jersey"
"614936","845","299384","824","17665","716","3772","1005","13893","1032","51606","1178","9484","2161","42122","2338","27149","1656","2663","1223","24486","2081","29412","1541","3412","1095","26000","1688","34922","666","3280","1085","31642","1233","42602","288","2768","955","39834","1003","47730","228","2367","873","45363","884","30637","405","2092","700","28545","678","17661","471","1204","667","16457","792","315552","638","18401","932","3278","888","15123","1389","47226","1189","9682","1270","37544","1367","24524","1246","3191","1003","21333","1234","31084","1089","4242","1190","26842","1429","36222","176","3722","1027","32500","1013","45714","191","4040","1261","41674","1251","50818","274","3298","981","47520","1038","34053","175","2184","617","31869","618","27510","538","3010","908","24500","943","0500000US34025","Monmouth County, New Jersey"
"488104","985","240276","1028","14409","840","2683","896","11726","1181","41821","1459","4345","1250","37476","1841","20222","1248","1784","952","18438","1166","25289","967","3207","1109","22082","1309","29788","390","1508","552","28280","635","35604","399","1533","703","34071","760","35948","435","2207","740","33741","845","22034","549","1202","509","20832","800","15161","386","1152","445","14009","546","247828","1015","14265","707","1685","859","12580","1180","37996","1297","4366","1588","33630","1890","19776","1106","1547","766","18229","1510","24418","761","3407","923","21011","1205","30032","541","1868","687","28164","838","37404","535","1798","708","35606","741","37321","166","3219","879","34102","916","24828","793","1241","456","23587","855","21788","1126","2254","1106","19534","1047","0500000US34027","Morris County, New Jersey"
"601743","1395","290449","1359","26732","1499","12957","2294","13775","2104","51959","1556","19312","2788","32647","3132","22315","1327","4777","1148","17538","1609","29422","1342","4469","1358","24953","1630","30738","696","4983","1283","25755","1342","32792","678","4873","1146","27919","1119","38290","278","3458","817","34832","885","32797","452","2320","1011","30477","1171","25404","488","1242","570","24162","747","311294","941","23654","1284","12032","1760","11622","1468","51172","1344","19263","3239","31909","3207","20233","1114","4196","1075","16037","1176","30788","1028","6461","1317","24327","1577","30504","787","6619","1440","23885","1598","34668","631","4496","1104","30172","1170","42563","297","4679","1201","37884","1269","40359","656","3210","824","37149","1107","37353","892","3491","870","33862","990","0500000US34029","Ocean County, New Jersey"
"498963","1201","243619","1100","19955","904","11003","1378","8952","1359","44613","1298","17859","1830","26754","2106","24420","1423","4396","1248","20024","1496","29447","1284","4224","1060","25223","1295","30816","321","3076","1007","27740","1049","31500","214","3411","1209","28089","1238","30832","3","3619","891","27213","891","19887","517","2704","837","17183","961","12149","533","1702","643","10447","900","255344","477","19455","811","10725","1277","8730","1271","42731","1285","16932","2040","25799","1905","25128","1464","6719","1244","18409","1554","28857","1111","8332","1513","20525","1601","31626","6","6309","1143","25317","1143","33321","2","4597","1150","28724","1151","33067","5","5387","1208","27680","1208","23535","397","2626","839","20909","842","17624","633","3836","944","13788","885","0500000US34031","Passaic County, New Jersey"
"61204","871","29216","894","1851","620","810","516","1041","506","4556","628","1090","461","3466","576","2357","443","571","376","1786","245","3073","476","433","357","2640","435","3886","602","407","302","3479","620","4074","465","835","486","3239","372","4067","287","591","291","3476","377","3121","359","472","379","2649","538","2231","349","159","136","2072","380","31988","696","2594","756","1257","534","1337","625","4424","541","1006","515","3418","540","2496","545","384","292","2112","583","3044","490","907","516","2137","412","3721","584","746","442","2975","558","4573","406","623","318","3950","476","4711","193","698","314","4013","334","3676","278","518","288","3158","323","2749","209","554","442","2195","471","0500000US34033","Salem County, New Jersey"
"325834","1039","159514","1660","10161","1310","2467","1520","7694","1176","28383","1413","3967","1244","24416","1735","13707","902","1279","777","12428","1017","16225","929","1120","535","15105","991","20155","735","533","344","19622","778","24540","865","398","237","24142","894","23977","249","1404","489","22573","562","13729","477","709","435","13020","560","8637","462","204","145","8433","479","166320","1510","9839","1326","1861","1134","7978","1194","25228","1102","3955","1162","21273","1580","12974","899","1456","1132","11518","1571","16633","555","1274","573","15359","824","21956","494","1521","672","20435","844","25046","494","1351","614","23695","671","25172","134","1502","511","23670","531","15897","654","661","547","15236","818","13575","716","1709","657","11866","787","0500000US34035","Somerset County, New Jersey"
"139342","1173","69429","531","3858","314","686","422","3172","465","11376","595","2220","1050","9156","1150","5780","562","438","291","5342","515","7062","507","550","375","6512","551","7690","500","672","475","7018","524","10698","546","425","250","10273","640","11690","348","821","302","10869","464","7178","248","775","313","6403","387","4097","209","487","295","3610","286","69913","1012","3333","434","239","219","3094","493","10519","545","1314","959","9205","972","5602","641","681","454","4921","679","6060","544","346","208","5714","550","9075","582","867","416","8208","694","10321","473","733","438","9588","596","12229","588","864","344","11365","608","7683","411","252","180","7431","461","5091","281","554","321","4537","445","0500000US34037","Sussex County, New Jersey"
"551872","1115","269590","861","22292","1266","8211","1548","14081","1913","46231","1460","14955","2265","31276","2404","23006","1282","2506","868","20500","1404","32505","1083","2628","958","29877","1455","38077","506","2578","809","35499","989","38183","366","2590","815","35593","902","34950","314","3761","1110","31189","1160","21048","362","3660","1129","17388","1094","13298","406","2000","689","11298","659","282282","712","20121","935","7020","1678","13101","1611","47568","1087","17673","2283","29895","2244","22995","1191","3328","1183","19667","1485","31686","1048","4672","1247","27014","1721","38408","42","3959","1189","34449","1197","39176","190","3707","1001","35469","1041","37332","202","4703","912","32629","956","24917","133","4550","1026","20367","1049","20079","508","4289","1193","15790","1205","0500000US34039","Union County, New Jersey"
"104485","334","51416","777","3634","789","1402","597","2232","680","7145","957","1280","594","5865","1030","4613","589","554","465","4059","703","5697","806","945","653","4752","953","5575","562","594","366","4981","704","7623","554","351","243","7272","639","8072","373","903","452","7169","579","5634","467","149","126","5485","501","3423","292","183","205","3240","358","53069","826","3007","608","1134","645","1873","449","7868","680","1729","809","6139","981","4262","643","239","183","4023","685","5047","599","630","528","4417","730","5902","515","1295","544","4607","669","8135","587","545","375","7590","705","8651","346","1028","596","7623","677","5525","241","738","386","4787","386","4672","418","467","331","4205","549","0500000US34041","Warren County, New Jersey"
